"# PDIoT walking data"
"# Start time: 20190924T085329"
"# Group: A"
"# Subject: Collecting"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Left"
"# Sensor mounting: Pocket"
"# Number of steps: 10"
"# Notes: 1, 10 steps"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569311615312","57","-0.90527344","-0.18066406","0.08203125","-32.0","62.1875","-9.46875"
"1569311615431","58","-0.8652344","-0.11230469","0.21777344","-17.78125","36.375","-10.40625"
"1569311615521","59","-0.92871094","-0.2783203","0.33007812","19.28125","52.84375","-23.8125"
"1569311615612","60","-1.03125","-0.20214844","0.18945312","-38.03125","14.4375","-2.8125"
"1569311615766","61","-1.4365234","-0.08300781","-0.061523438","-18.09375","-37.5","48.8125"
"1569311615822","62","-0.9980469","-0.4814453","0.3232422","24.875","-111.34375","25.75"
"1569311615912","63","-0.80371094","-0.21875","0.22363281","31.0","-114.03125","8.65625"
"1569311616029","64","-0.6582031","-0.30273438","0.5595703","-54.8125","-94.0625","23.84375"
"1569311616119","65","-0.5263672","-0.09375","0.3232422","-19.125","27.375","-4.84375"
"1569311616210","66","-0.89453125","-0.24511719","0.69628906","-19.59375","50.71875","-5.8125"
"1569311616333","67","-0.5966797","0.17089844","0.90722656","34.65625","-37.5","31.46875"
"1569311616452","68","-0.69921875","-0.69140625","0.4453125","9.5","16.03125","20.5625"
"1569311616511","69","-0.9707031","-0.34570312","-0.051757812","20.90625","55.59375","-59.03125"
"1569311616629","70","-0.6972656","-0.21191406","0.30371094","18.84375","82.125","-12.09375"
"1569311616719","71","-0.8828125","-0.107421875","0.14648438","12.75","58.625","-18.15625"
"1569311616817","72","-0.8955078","-0.20214844","0.2607422","14.03125","45.03125","-18.875"
"1569311616930","73","-0.9736328","-0.125","0.16894531","-16.6875","32.6875","-26.5"
"1569311617020","74","-1.0849609","-0.43359375","0.35351562","23.46875","35.9375","0.15625"
"1569311617116","75","-1.5068359","-0.5058594","-0.13476562","-21.1875","-80.71875","63.34375"
"1569311617232","76","-1.0693359","-0.33007812","0.26367188","110.9375","-85.71875","14.03125"
"1569311617321","77","-0.7998047","-0.123046875","0.21484375","-39.5625","-135.6875","7.625"
"1569311617412","78","-0.62109375","-0.31347656","0.35546875","-32.3125","-56.53125","9.1875"
