"# PDIoT walking data"
"# Start time: 20190924T085103"
"# Group: A"
"# Subject: Collecting"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Pocket"
"# Number of steps: 10"
"# Notes: 1, 10 steps"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569311463514","0","-0.9873047","-0.034179688","0.19628906","5.65625","2.0625","1.03125"
"1569311463599","1","-0.98828125","-0.018554688","0.19433594","8.03125","2.71875","3.71875"
"1569311463721","2","-0.9873047","0.021484375","0.20214844","4.3125","0.96875","6.40625"
"1569311463811","3","-0.9902344","-0.08105469","0.21777344","-3.75","0.90625","9.375"
"1569311463903","4","-0.9824219","-0.041992188","0.2109375","13.90625","-2.03125","3.28125"
"1569311464020","5","-0.8808594","0.055664062","0.2919922","0.90625","-19.3125","-14.84375"
"1569311464110","6","-1.1269531","-0.20117188","0.43164062","-2.03125","-48.125","-34.25"
"1569311464203","7","-0.84472656","-0.09765625","0.359375","28.96875","-24.625","-14.0"
"1569311464326","8","-0.85058594","-0.15234375","0.4296875","11.8125","-15.8125","-14.96875"
"1569311464414","9","-0.82421875","-0.234375","0.4873047","27.875","-2.6875","-10.40625"
"1569311464503","10","-0.7841797","-0.23046875","0.53222656","33.75","21.71875","-5.09375"
"1569311464685","11","-1.3164062","-0.072265625","0.57714844","40.03125","9.625","-8.9375"
"1569311464711","12","-0.7832031","0.025390625","0.37304688","-23.5625","-16.3125","11.59375"
"1569311464801","13","-0.9794922","0.14160156","0.328125","31.0625","55.28125","21.28125"
"1569311464924","14","-0.88378906","9.765625E-4","0.15625","-10.34375","62.53125","9.75"
"1569311465014","15","-0.90625","-0.08105469","0.203125","22.09375","42.90625","5.34375"
"1569311465101","16","-0.859375","-0.12792969","0.19238281","18.46875","26.03125","15.3125"
"1569311465219","17","-1.0429688","-0.09472656","0.08691406","1.4375","21.90625","18.90625"
"1569311465312","18","-1.3066406","-0.11816406","-0.087890625","-8.625","7.375","-16.1875"
"1569311465405","19","-1.1455078","0.4091797","-0.034179688","48.1875","-54.28125","-38.84375"
"1569311465522","20","-0.91796875","-0.059570312","0.001953125","28.90625","-67.59375","-3.875"
"1569311465608","21","-0.7109375","-0.017578125","0.21582031","64.0625","-50.78125","-29.3125"
"1569311465706","22","-0.7783203","-0.08496094","0.25683594","38.5","-27.53125","-11.25"
"1569311465829","23","-0.79589844","-0.24316406","0.50878906","34.59375","29.28125","-4.96875"
"1569311465910","24","-0.99902344","-0.27148438","0.6328125","32.34375","19.53125","-16.25"
"1569311466002","25","-0.75683594","0.2890625","0.28808594","-25.46875","14.3125","3.34375"
"1569311466119","26","-0.9375","-0.06347656","0.020507812","-20.40625","15.625","33.96875"
"1569311466209","27","-0.76953125","0.1953125","0.19726562","-6.3125","51.9375","14.03125"
"1569311466301","28","-0.85546875","-0.21289062","0.20019531","-14.1875","62.25","-0.125"
"1569311466419","29","-0.8173828","-0.059570312","0.14746094","2.71875","25.5625","14.6875"
"1569311466509","30","-0.8847656","-0.12988281","0.18554688","-5.25","16.03125","23.53125"
"1569311466601","31","-0.75097656","-0.4111328","0.36621094","-43.34375","5.34375","19.15625"
"1569311466721","32","-2.0","0.46191406","0.34472656","76.03125","2.1875","-81.75"
"1569311466809","33","-1.0615234","-0.0068359375","-0.08203125","11.59375","-80.03125","-13.875"
"1569311466930","34","-0.8652344","-0.11328125","0.23632812","-0.25","-70.21875","-9.125"
"1569311467019","35","-0.4794922","-0.1015625","0.203125","18.125","-50.375","-2.40625"
"1569311467111","36","-0.5722656","-0.31640625","0.5488281","48.6875","24.28125","12.5625"
"1569311467199","37","-1.1738281","-0.16210938","0.7597656","28.25","3.84375","-22.96875"
"1569311467319","38","-0.8613281","0.42285156","0.33789062","-52.6875","11.59375","22.125"
"1569311467410","39","-1.1904297","-0.09375","0.0859375","-18.4375","48.25","40.75"
"1569311467502","40","-0.6328125","0.14550781","0.05859375","-34.0","70.59375","29.65625"
"1569311467623","41","-0.86816406","-0.18066406","0.1953125","-28.6875","53.5625","8.03125"
"1569311467708","42","-0.92285156","-0.14453125","0.14648438","-15.59375","25.5","33.125"
"1569311467798","43","-1.0683594","-0.31152344","0.21191406","-36.09375","19.46875","18.78125"
