"# PDIoT walking data"
"# Start time: 20190924T084920"
"# Group: A"
"# Subject: Collecting"
"# Activity type: Walking (level ground)"
"# Sensor position: Torso"
"# Side of body: Left"
"# Sensor mounting: Pocket"
"# Number of steps: 100"
"# Notes: 3, 100 steps"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569311360579","0","-0.93652344","0.18847656","0.08300781","-18.875","-9.28125","0.34375"
"1569311360672","1","-0.9296875","0.19335938","0.10058594","-20.28125","4.5","-5.21875"
"1569311360788","2","-0.94140625","0.20117188","0.1640625","-5.25","-3.0625","-2.6875"
"1569311360879","3","-0.9277344","0.14160156","0.13769531","24.59375","10.71875","-4.71875"
"1569311361030","4","-0.9951172","0.16503906","0.23242188","31.25","2.84375","-10.75"
"1569311361088","5","-1.2011719","0.18945312","0.3564453","31.71875","-20.9375","-12.90625"
"1569311361178","6","-1.2460938","-0.0029296875","-0.061523438","6.34375","-32.1875","1.4375"
"1569311361272","7","-0.8798828","-0.048828125","-0.029296875","4.625","2.5625","-0.75"
"1569311361390","8","-0.8408203","0.14648438","0.06347656","28.71875","-4.96875","-4.21875"
"1569311361484","9","-0.8466797","0.19628906","0.18261719","55.65625","14.28125","-7.46875"
"1569311361570","10","-0.8642578","0.16113281","0.17871094","38.375","10.0","-1.1875"
"1569311361692","11","-0.94140625","0.16796875","0.18261719","55.59375","13.0","10.125"
"1569311361784","12","-1.375","0.3466797","0.19238281","22.5625","-13.25","11.75"
"1569311361870","13","-1.1943359","0.234375","-0.17675781","-19.0625","0.0","13.0"
"1569311361994","14","-0.92871094","0.059570312","-0.04296875","-57.375","27.6875","-4.03125"
"1569311362086","15","-0.75","0.08105469","-0.020507812","-40.125","10.1875","-6.96875"
"1569311362170","16","-0.9169922","0.14355469","0.06738281","-30.71875","6.21875","-6.65625"
"1569311362320","17","-0.8925781","0.20019531","0.15234375","-14.1875","3.46875","-13.1875"
"1569311362380","18","-0.9785156","0.24511719","0.08984375","-10.21875","-3.3125","-8.1875"
"1569311362470","19","-1.484375","0.22753906","0.30078125","6.15625","-57.625","10.0"
"1569311362619","20","-1.0214844","-0.16308594","-0.39160156","35.5625","-9.46875","-5.03125"
"1569311362679","21","-0.8388672","0.119140625","0.10449219","37.34375","-6.375","-0.0625"
"1569311362767","22","-0.7783203","0.14941406","0.099609375","16.46875","8.90625","-3.0"
"1569311362887","23","-0.9003906","0.19335938","0.15136719","-3.875","20.25","-6.1875"
"1569311362979","24","-0.9326172","0.21777344","0.171875","-31.25","14.15625","-8.75"
"1569311363071","25","-0.953125","0.15332031","0.18164062","-47.1875","1.625","-2.6875"
